Retailer,Address,CITY,ZIP,County,Game,Year,Month,Winnings
PUMP 'N PANTRY 2,45 59 HWY,DIAMOND,64840,JASPER,TRIPLE PLAY,2016,2,0
DEAN'S GENERAL MSDE PKG,356 HC 4,DONIPHAN,63935,RIPLEY,TRIPLE PLAY,2016,1,4
HAN-D-MART,163 CHAMBERS RD,RIVERVIEW,63137,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,8
7-ELEVEN 29046D,5604 GRAVOIS AVENUE,ST LOUIS,63116,ST. LOUIS CITY,TRIPLE PLAY,2016,1,16
TRAILS END,1303 WEST US HWY 136,ROCK PORT,64482,ATCHISON,TRIPLE PLAY,2016,1,6
QUIKTRIP 646,1617 GRAVOIS RD,HIGH RIDGE,63049,JEFFERSON,TRIPLE PLAY,2016,1,30
QUIKTRIP 646,1617 GRAVOIS RD,HIGH RIDGE,63049,JEFFERSON,TRIPLE PLAY,2016,2,0
SMOKEY'S PLACE,2031 ROCK RD PLAZA,DESOTO,63020,JEFFERSON,TRIPLE PLAY,2016,1,56
SMOKEY'S PLACE,2031 ROCK RD PLAZA,DESOTO,63020,JEFFERSON,TRIPLE PLAY,2016,2,0
LOVES TRAVEL STOP 282,4013 HIGHWAY 43,JOPLIN,64804,NEWTON,TRIPLE PLAY,2016,1,4
PARTY PANTRY,1460 GIBSON ST,WEST PLAINS,65775,HOWELL,TRIPLE PLAY,2016,1,0
HAWKS NEST LIQUOR,359  LUEPKENHAUS BLVD,WENTZVILLE,63385,ST. CHARLES,TRIPLE PLAY,2016,1,2
LARRY'S PIT STOP,2413 E MALONE AVE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,4
JIFFY STOP,3360 BAGNELL DAM BLVD,LAKE OZARK,65049,MILLER,TRIPLE PLAY,2016,1,0
JIFFY STOP,3360 BAGNELL DAM BLVD,LAKE OZARK,65049,MILLER,TRIPLE PLAY,2016,2,0
JIFFY STOP,613 W NEWTON ST,VERSAILLES,65084,MORGAN,TRIPLE PLAY,2016,1,22
