Retailer,Address,CITY,ZIP,County,Game,Year,Month,Sales
CAIRO VILLAGE MARKET,101 S LANDRUM ST,CAIRO,65239,RANDOLPH,TRIPLE PLAY,2016,1,16
CAIRO VILLAGE MARKET,101 S LANDRUM ST,CAIRO,65239,RANDOLPH,TRIPLE PLAY,2016,2,0
JACKSON MART,1402 OLD CAPE RD,JACKSON,63755,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,16
A1 MARKET,3336 PERSHALL RD,ST LOUIS,63135,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,12
GERBES 9125,2900 N PARIS RD,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,2
SPRINGFIELD MARKET LLC,312 PORTER WAGONER BLVD,WEST PLAINS,65775,HOWELL,TRIPLE PLAY,2016,1,30
KATHY BISSELL LOUNGE,705 CHAMBERS RD,SAINT LOUIS,63137,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,8
SANU INC,1730 S MORLEY ST,MOBERLY,65270,RANDOLPH,TRIPLE PLAY,2016,1,12
CRAWFORD AMOCO,1116 N KINGSHIGHWAY ST,PERRYVILLE,63775,PERRY,TRIPLE PLAY,2016,1,2
JC MART,105 W DUNKLIN ST,JEFFERSON CITY,65101,COLE,TRIPLE PLAY,2016,1,2
GRAND CITY,4122 N GRAND BLVD,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,1,214
GRAND CITY,4122 N GRAND BLVD,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
CORNER MARKET,419 W 4TH ST,JOPLIN,64801,JASPER,TRIPLE PLAY,2016,1,2
XPRESS LIQUOR AND SMOKES 9,201 E 5TH ST,WASHINGTON,63090,FRANKLIN,TRIPLE PLAY,2016,1,6
FLORISSANT SHELL,3555 DUNN RD,FLORISSANT,63033,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,156
FLORISSANT SHELL,3555 DUNN RD,FLORISSANT,63033,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
MOSER'S FOODS 8,1101 W MONROE,MEXICO,65265,AUDRAIN,TRIPLE PLAY,2016,1,16
DISCOUNT SMOKES AND LIQUOR,3459 S STERLING AVE,INDEPENDENCE,64052,JACKSON,TRIPLE PLAY,2016,1,76
DISCOUNT SMOKES AND LIQUOR,3459 S STERLING AVE,INDEPENDENCE,64052,JACKSON,TRIPLE PLAY,2016,2,0
PAGEDALE MARKET,6707 PAGE AVE,ST LOUIS,63133,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,18
MAYSARA PETRO,11200 N AMBASSADOR DR,KANSAS CITY,64153,PLATTE,TRIPLE PLAY,2016,1,20
MAYSARA PETRO,11200 N AMBASSADOR DR,KANSAS CITY,64153,PLATTE,TRIPLE PLAY,2016,2,0
MAYSARA PETRO,11200 N AMBASSADOR DR,KANSAS CITY,64153,PLATTE,TRIPLE PLAY,2016,3,0
KINGHWY PHILLIPS 66,4300 S KINGSHIGHWAY,ST LOUIS,63109,ST. LOUIS CITY,TRIPLE PLAY,2016,1,12
KINGHWY PHILLIPS 66,4300 S KINGSHIGHWAY,ST LOUIS,63109,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
FOWLERS ZX,1220 S BIG BEND BLVD,RICHMOND HEIGHTS,63117,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,34
ANDREW COUNTY OIL,8751 HIGHWAY 71,SAVANNAH,64485,ANDREW,TRIPLE PLAY,2016,4,0
END ZONE SPORTS BAR & GRILL,3129 W BROADWAY BLVD,SEDALIA,65301,PETTIS,TRIPLE PLAY,2016,1,2
JESSE'S LAST STOP 2,503 N US HWY 71,SAVANNAH,64485,ANDREW,TRIPLE PLAY,2016,1,10
JESSE'S LAST STOP 2,503 N US HWY 71,SAVANNAH,64485,ANDREW,TRIPLE PLAY,2016,3,0
JESSE'S LAST STOP 1,6101 N BELT HWY,ST JOSEPH,64506,ANDREW,TRIPLE PLAY,2016,1,114
JESSE'S LAST STOP 3,1053 HWY 71,BOLCKOW,64427,ANDREW,TRIPLE PLAY,2016,1,38
BLAND CORNER MARKET,203 W COLORADO AVE,BLAND,65014,GASCONADE,TRIPLE PLAY,2016,1,52
A & M MARKET,145 A GRAHAM RD,FLORISSANT,63031,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,40
PHILLIPS 66 AT GRAVOIS,2327 GRAVOIS AVE,SAINT LOUIS,63104,ST. LOUIS CITY,TRIPLE PLAY,2016,1,18
PRICE CHOPPER 404,701 WATSON DR,KEARNEY,64060,CLAY,TRIPLE PLAY,2016,1,48
PRICE CHOPPER 404,701 WATSON DR,KEARNEY,64060,CLAY,TRIPLE PLAY,2016,2,0
WORLDS LIQUORS 7,2300 VINTAGE CT,EXCELSIOR SPG,64024,CLAY,TRIPLE PLAY,2016,1,4
DISCOUNT TOBACCO WARE HOUSE,1001 E MALONE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,6
QUIKTRIP 635,11150 ST CHARLES ROCK RD,ST ANN,63074,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,166
QUIKTRIP 635,11150 ST CHARLES ROCK RD,ST ANN,63074,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
